Level,Name,Type,Rev,Description,State,U of M,Qty,Item Number,Product Line,General Notes,Legacy Item Number,Project,Usage,Document Usage,parent_name
4,MDS-1,Material Specification List,AJ,"MDS-1, 4130/4140/4145 80 KSI  22 HRC MAX",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,87808-700-00005
4,CSP-86,Coating Specifications,AU,Ion Nitriding of Low Alloy and Stainless Steels,Released,,"=""0.0""",,CXXD,COAT ENTIRE LENGTH - OUTSIDE DIAMETER,,OFS_COATINGS,,Reference Document,87808-700-00005
4,87808-700,ProE Drawing,AF,"BAR, DRIFT, GENERIC",Released,,"=""0.0""",,!TBD,,,CPS_COMPLETIONS,,Described By,87808-700-00005
2,102722007,Part SLB,AB,"RING, UPPER GAGE, 7 BluePack ESP (23-26), 41XX (80)",Released,EA - Each,2.0,"=""0002""",CP86,,"=""002""",HV Completions - CPU,Uses,,103118246
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102722007
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102722007
3,102722017,ProE Drawing,AB,"RING, UPPER GAGE, 7 BluePack ESP (23-26)",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102722007
3,MDS-4,Material Specification List,AH,"MDS-4, 4130/4140/4145, L80 TYPE 1 EQUIVALENT",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102722007
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102722007
2,102036655,Part SLB,AB,"RING, ELEMENT BACK-UP, 7 BluePack ESP, PEEK",Released,EA - Each,2.0,"=""0003""",CP86,,"=""003""",HV Completions - CPU,Uses,,103118246
3,CNMS-P4000,Elastomer and Plastic Specifications,AY,Glass Filled PEEK (Polyetheretherketone Polymer),Released,,"=""0.0""",,CPHD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102036655
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,TAG AND BAG,,CPS_QA2,,Reference Document,102036655
3,102036706,ProE Drawing,AA,"RING, ELEMENT BACK-UP, 7 BluePack ESP",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102036655
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102036655
2,102036636,Part SLB,AF,"RING, FOLD BACK, 7 BluePack ESP, 8620",Released,EA - Each,2.0,"=""0004""",CP86,,"=""004""",HV Completions - CPU,Uses,,103118246
3,102036690,ProE Drawing,AF,"RING, FOLD BACK, 7 BluePack ESP",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102036636
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102036636
3,100857872,General Spec,AC,"8620 LOW ALLOY WROUGHT STEEL BARS AND SEAMLESS TUBING,
FULLY ANNEALED TO 82 HRB MAX,
HIGH DUCTILITY FOR FORMABILITY",Released,,"=""0.0""",,LEAD,MATERIAL SPECIFICATION,,CPS_COMPLETIONS,,Reference Document,102036636
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,BAG AND TAG,,CPS_QA2,,Reference Document,102036636
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102036636
2,102036637,Part SLB,AC,"ELEMENT, END, 7 BluePack ESP (23-29), AFLAS (90)",Released,EA - Each,2.0,"=""0005""",CP86,,"=""005""",HV Completions - CPU,Uses,,103118246
3,CNMS-E3502,Elastomer and Plastic Specifications,AB,"CNMS E-3502:   AFLAS FLUOROELASTOMER PACKER ELEMENTS, HIGH HARDNESS",Released,,"=""0.0""",,DXG1,MATERIAL SPECIFICATION,,CPS_QA1,,Reference Document,102036637
3,102036691,ProE Drawing,AC,"ELEMENT, END, 7 BluePack ESP (23-29)",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102036637
3,102086735,Instruction-Procedure,AC,PACKER ELEMENT VISUAL INSPECTION AND ACCEPTANCE INSTRUCTION,Released,,"=""0.0""",,CSED,VISUAL INSPECTION CRITERIA,,CPS_COMPLETIONS,,Reference Document,102036637
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102036637
2,102036666,Part SLB,AC,"RING, SPACER, 7 BluePack ESP, 41XX (80)",Released,EA - Each,2.0,"=""0006""",CP86,,"=""006""",HV Completions - CPU,Uses,,103118246
3,MDS-4,Material Specification List,AH,"MDS-4, 4130/4140/4145, L80 TYPE 1 EQUIVALENT",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102036666
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,TAG AND BAG,,CPS_QA2,,Reference Document,102036666
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102036666
3,102036716,ProE Drawing,AC,"RING, SPACER, 7 BluePack ESP",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102036666
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102036666
2,102722005,Part SLB,AB,"RING, FILLER, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0007""",CP86,,"=""007""",HV Completions - CPU,Uses,,103118246
3,102722015,ProE Drawing,AA,"RING, FILLER, 7 BluePack ESP",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102722005
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,TAG AND BAG,,CPS_QA2,,Reference Document,102722005
3,MDS-4,Material Specification List,AH,"MDS-4, 4130/4140/4145, L80 TYPE 1 EQUIVALENT",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102722005
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102722005
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102722005
2,102722006,Part SLB,AB,"ELEMENT, CENTER, 7 BluePack ESP (23-29), AFLAS (80)",Released,EA - Each,1.0,"=""0008""",CP86,,"=""008""",HV Completions - CPU,Uses,,103118246
3,102722016,ProE Drawing,AA,"ELEMENT, CENTER, 7 BluePack ESP (23-29)",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102722006
3,102086735,Instruction-Procedure,AC,PACKER ELEMENT VISUAL INSPECTION AND ACCEPTANCE INSTRUCTION,Released,,"=""0.0""",,CSED,VISUAL INSPECTION CRITERIA,,CPS_COMPLETIONS,,Reference Document,102722006
3,CNMS-E3402,Elastomer and Plastic Specifications,AA,"AFLAS FLUOROELASTOMER (RUBBER) PACKER ELEMENTS, MEDIUM HARDNESS",Released,,"=""0.0""",,DXG1,MATERIAL SPECIFICATION,,CPS_QA1,,Reference Document,102722006
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102722006
2,102036657,Part SLB,AB,"RING, CONTOURED BACK-UP, #250 O-RING ROD SEAL, 5.176 X 4.953",Released,EA - Each,4.0,"=""0009""",CP86,,"=""009""",HV Completions - CPU,Uses,,103118246
3,CNMS-P4000,Elastomer and Plastic Specifications,AY,Glass Filled PEEK (Polyetheretherketone Polymer),Released,,"=""0.0""",,CPHD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102036657
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,TAG AND BAG,,CPS_QA2,,Reference Document,102036657
3,102036707,ProE Drawing,AA,"RING, CONTOURED BACK-UP, #250 O-RING ROD SEAL, 5.176 X 4.953",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102036657
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102036657
2,100443166,Seal-O-Ring-Quad-Ring-Etc.,AB,"O-RING, SZ 250, 4.984 ID X 0.139 W, AFLAS-90",Released,EA - Each,2.0,"=""0010""",WU35,,"=""010""",CoSeG-Seals,Uses,,103118246
3,100753768,Elastomer and Plastic Specifications,AB,"O-ring,  Aflas,  90 Durometer,  Seals Eastern, 7182B,  Unified specification",Released,,"=""0.0""",,CXXD,,,OFS_MATERIALS,,Reference Document,100443166
3,102924434,Instruction-Procedure,AC,RTST and RPS Supplier Requirements Document,Released,,"=""0.0""",,TT5D,,,QUALITY-SPT,,Reference Document,100443166
2,102036658,Part SLB,AB,"RING, CONTOURED BACK-UP, #251 O-RING BORE SEAL, 5.3985 X 5.1755",Released,EA - Each,8.0,"=""0011""",CP86,,"=""011""",HV Completions - CPU,Uses,,103118246
3,CNMS-P4000,Elastomer and Plastic Specifications,AY,Glass Filled PEEK (Polyetheretherketone Polymer),Released,,"=""0.0""",,CPHD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102036658
3,102036708,ProE Drawing,AA,"RING, CONTOURED BACK-UP, #251 O-RING BORE SEAL, 5.3985 X 5.1755",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102036658
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,TAG AND BAG,,CPS_QA2,,Reference Document,102036658
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102036658
2,100443167,Seal-O-Ring-Quad-Ring-Etc.,AB,"O-RING, SZ 251, 5.109 ID X 0.139 W, AFLAS-90",Released,EA - Each,4.0,"=""0012""",WU35,,"=""012""",CoSeG-Seals,Uses,,103118246
3,100753768,Elastomer and Plastic Specifications,AB,"O-ring,  Aflas,  90 Durometer,  Seals Eastern, 7182B,  Unified specification",Released,,"=""0.0""",,CXXD,,,OFS_MATERIALS,,Reference Document,100443167
3,102924434,Instruction-Procedure,AC,RTST and RPS Supplier Requirements Document,Released,,"=""0.0""",,TT5D,,,QUALITY-SPT,,Reference Document,100443167
2,102036640,Part SLB,AD,"PISTON, UPPER, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0013""",CP86,,"=""013""",HV Completions - CPU,Uses,,103118246
3,MDS-4,Material Specification List,AH,"MDS-4, 4130/4140/4145, L80 TYPE 1 EQUIVALENT",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102036640
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102036640
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102036640
3,102036694,ProE Drawing,AC,"PISTON, UPPER, 7 BluePack ESP",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102036640
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102036640
2,102710524,Part SLB,AC,"SCREW, SHEAR, 1/4-28 UNF-2A X 3/8 LONG, BRONZE, SHEAR VALUE=1640 +/- 5% LBS",Released,EA - Each,10.0,"=""0014""",CP86,,"=""014""",HV Completions - CPU,Uses,,103118246
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,TAG AND BAG,,CPS_QA2,,Reference Document,102710524
3,CSP-142,General Spec,AM,CSP-142: SHEAR TEST PROCEDURE TO MANUFACTURE SHEAR SCREWS AND PINS,Released,,"=""0.0""",,CPHD,SHEAR TEST,,CPS_COMPLETIONS,,Reference Document,102710524
3,102710526,ProE Drawing,AA,"SCREW, SHEAR, 1/4-28 UNF - 2A X 3/8",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102710524
3,100120488,Material Specification List,AC,"MDS-239, BRONZE ALLOY 675",Released,,"=""0.0""",,GC26,MATERIAL SPECIFICATION,,CPS_QA1,,Reference Document,102710524
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102710524
2,102036630,Part SLB,AB,"C-RING, 7 BluePack ESP, 41XX (80)",Released,EA - Each,2.0,"=""0015""",CP86,,"=""015""",HV Completions - CPU,Uses,,103118246
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102036630
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102036630
3,CHTS-24.40-01,Heat Treat Specifications,AL,"Carbon and Low Alloy Steels, Pre-Heat Treated, Stress Relieve For Machining",Released,,"=""0.0""",,CXXD,HEAT TREAT,,MatEng,,Reference Document,102036630
3,102036685,ProE Drawing,AA,"C-RING, 7 BluePack ESP",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102036630
3,MDS-4,Material Specification List,AH,"MDS-4, 4130/4140/4145, L80 TYPE 1 EQUIVALENT",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102036630
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102036630
2,102036629,Part SLB,AB,"PISTON, SECONDARY, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0016""",CP86,,"=""016""",HV Completions - CPU,Uses,,103118246
3,MDS-4,Material Specification List,AH,"MDS-4, 4130/4140/4145, L80 TYPE 1 EQUIVALENT",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102036629
3,102036684,ProE Drawing,AB,"PISTON, SECONDARY, 7 BluePack ESP",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102036629
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102036629
3,CSP-134,Coating Specifications,AH,"Phosphating, Buffing (Polishing) and Oiling of Components",Released,,"=""0.0""",,CXXD,"FLAG 134, BUFF WHERE FLAGGED AND SURFACES WITH 63 FINISHES OR BETTER",,MatEng,,Reference Document,102036629
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102036629
2,102036646,Part SLB,AB,"HOUSING, PISTON, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0017""",CP86,,"=""017""",HV Completions - CPU,Uses,,103118246
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102036646
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102036646
3,MDS-4,Material Specification List,AH,"MDS-4, 4130/4140/4145, L80 TYPE 1 EQUIVALENT",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102036646
3,102036697,ProE Drawing,AB,"HOUSING, PISTON 7 BluePack ESP",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102036646
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102036646
2,B033671,Screw Machine-Bolt,AC,"SCREW, SKT SET 1/4-20 X 3/16 CUP PT ALLOY STL/45H  ASME B18.3",Released,EA - Each,12.0,"=""0018""",AF85,,"=""018""",CoSeG-Mech,Uses,,103118246
3,100888833,Material Spec,AC,"Steel for Commercial Set Screws, ASTM F912 or ISO 898-5",Released,,"=""0.0""",,!TBD,,,OFS_MATERIALS,,Reference Document,B033671
2,102036659,Part SLB,AB,"RING, CONTOURED BACK-UP, #249 O-RING ROD SEAL, 5.0725 X 4.8495",Released,EA - Each,6.0,"=""0019""",CP86,,"=""019""",HV Completions - CPU,Uses,,103118246
3,CNMS-P4000,Elastomer and Plastic Specifications,AY,Glass Filled PEEK (Polyetheretherketone Polymer),Released,,"=""0.0""",,CPHD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102036659
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,TAG AND BAG,,CPS_QA2,,Reference Document,102036659
3,102036709,ProE Drawing,AA,"RING, CONTOURED BACK-UP, #249 O-RING ROD SEAL, 5.0725 X 4.8495",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102036659
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102036659
2,100443165,Seal-O-Ring-Quad-Ring-Etc.,AB,"O-RING, SZ 249, 4.859 ID X 0.139 W, AFLAS-90",Released,EA - Each,3.0,"=""0020""",WU35,,"=""020""",CoSeG-Seals,Uses,,103118246
3,100753768,Elastomer and Plastic Specifications,AB,"O-ring,  Aflas,  90 Durometer,  Seals Eastern, 7182B,  Unified specification",Released,,"=""0.0""",,CXXD,,,OFS_MATERIALS,,Reference Document,100443165
3,102924434,Instruction-Procedure,AC,RTST and RPS Supplier Requirements Document,Released,,"=""0.0""",,TT5D,,,QUALITY-SPT,,Reference Document,100443165
2,102036633,Part SLB,AB,"PISTON, TERTIARY, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0021""",CP86,,"=""021""",HV Completions - CPU,Uses,,103118246
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102036633
3,CSP-134,Coating Specifications,AH,"Phosphating, Buffing (Polishing) and Oiling of Components",Released,,"=""0.0""",,CXXD,"FLAG 134, BUFF WHERE FLAGGED AND SURFACES WITH 63 FINISHES OR BETTER",,MatEng,,Reference Document,102036633
3,MDS-4,Material Specification List,AH,"MDS-4, 4130/4140/4145, L80 TYPE 1 EQUIVALENT",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102036633
3,102036687,ProE Drawing,AB,"PISTON, TERTIARY, 7 BluePack ESP",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102036633
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102036633
2,102036641,Part SLB,AE,"PISTON, LOWER, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0022""",CP86,,"=""022""",HV Completions - CPU,Uses,,103118246
3,102036695,ProE Drawing,AD,"PISTON, LOWER, 7 BluePack ESP",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102036641
3,CSP-134,Coating Specifications,AH,"Phosphating, Buffing (Polishing) and Oiling of Components",Released,,"=""0.0""",,CXXD,"FLAG 134, BUFF WHERE FLAGGED AND SURFACES WITH 63 FINISHES OR BETTER",,MatEng,,Reference Document,102036641
3,MDS-4,Material Specification List,AH,"MDS-4, 4130/4140/4145, L80 TYPE 1 EQUIVALENT",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102036641
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102036641
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102036641
2,102946235,Part SLB,AB,"RING, BODY LOCK, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0023""",CP86,,,HV Completions - CPU,Uses,,103118246
3,MDS-4,Material Specification List,AH,"MDS-4, 4130/4140/4145, L80 TYPE 1 EQUIVALENT",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102946235
3,CHTS-24.40-01,Heat Treat Specifications,AL,"Carbon and Low Alloy Steels, Pre-Heat Treated, Stress Relieve For Machining",Released,,"=""0.0""",,CXXD,HEAT TREAT,,MatEng,,Reference Document,102946235
3,102946236,ProE Drawing,AB,"RING, BODY LOCK, 7 BluePack ESP",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102946235
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,BAG AND TAG,,CPS_QA2,,Reference Document,102946235
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102946235
3,102822929,Part SLB,AB,"MANDREL, HEAT TREAT, LOCK RING, 5.059 O.D., 41XX (80)",Released,EA - Each,"=""0.0""",8001,CP86,FOR HEAT TREATING,,HV Completions - CPU,Mfg Equipment Process,,102946235
4,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,COAT ENTIRE PART,,OFS_COATINGS,,Reference Document,102822929
4,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102822929
4,AP927-323,ProE Drawing,AB,LOCK RING HEAT TREAT MANDREL,Released,,"=""0.0""",,CPE6,,,CPS_COMPLETIONS,,Described By,102822929
4,MDS-4,Material Specification List,AH,"MDS-4, 4130/4140/4145, L80 TYPE 1 EQUIVALENT",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102822929
3,102817563,Part SLB,AB,"MANDREL, GAGE, LOCK RING, 5.146 O.D., 41XX (80)",Released,EA - Each,"=""0.0""",8002,CP86,TO TEST THE CLAMPING FORCE,,HV Completions - CPU,Mfg Equipment Process,,102946235
