ENVELOPE CALCULATIONS WORKSHEET														
Packer Information	Packer Type	7 X 4.000 QUANTUM MAX (32-35)	OPER.		DIFF.		AXIAL LOADS							NOTES
	Max Working Pressure (psi)	10,000												
	Factor of Safety	2.77												
3T8: Thread shear thru mandrel (0003) and ratchet ring (0008) [Upper Ratchet]														
Material	Sy,box (psi)	110,000												
	Sy,pin (psi)	95,000												
	Material - Box	41XX												
	Material - Pin	Super 13CR												
	Sy,box w/Temp CF (psi)	102,300												
	Sy,pin w/Temp CF (psi)	89,110												
Thread Information	Thread	4.647-16 Special Buttress LH												
	Length of Engagement (in)	1.169												tol +/-.005
"Pressure Below (Isolated)
"	Max Compressive Load w/1.1 FS (lbs)	429,431												See Buttress Thread Calc_350F, as the SF is high so temp is not revised
	Max Pressure w/1.1 FS (psi)	44,363												
	Max Working Pressure (psi)	10,000												
	Factor of Safety	4.88												
"Pressure Below
(Isolated)"	Max Load w/1.1 FS (lbs)	429,431												
	Max Pressure w/1.1 FS (psi)	44,363												Not a combine load path
	Max Working Pressure (psi)	10,000												
	Factor of Safety	4.88												
8T12: Bearing Load Rathet ring (0008) thru Upper Cone (0012)														
Material	Sy,box (psi)	110,000												
	Sy,pin (psi)	110,000												
	Material - Box	41XX												
	Material - Pin	41XX												
	Sy,box w/Temp CF (psi)	102,300												
	Sy,pin w/Temp CF (psi)	102,300												
Thread Information	Bearing Contact Area	1.45												Actual Contact Area not projected
	Length of Engagement (in)	1.375												tol +/- .030
	Max Load w/1.1 FS (lbs)	202,075												See Ratchet thread Shear tab. Previous calculation/tested envelope uses a 2.5 bearing factor.. This analyses uses a 1.5 bearing factor
Pressure Above (Isolated)	Max Pressure (psi)	44,796												
	Factor of Safety	4.93												
	Max Load w/1.1 FS (lbs)	202,075												
Pressure Below (Isolated)	Max Working Pressure (psi)	20,876												Max Pressure for Upper Ratchet Ring
	Factor of Safety	2.30												
Pressure Above (Plugged)	Max Pressure (psi)	11,833												
	Factor of Safety	1.30												
12A: Upper Cone Collapse (0012)														
Material	Sy,min (psi)	110,000												
	Material	41XX												
	Sy,min w/Temp CF (psi)	102,300												Upper Cone Design have been tested and validated in the prevous test noted.
Tested Data, ET200601167, GeMS Document 100297823	Upper Cone													
														
11A: Thread Relief Lower Gage Ring (0011)														
Material	Sy,min (psi)	80,000												
	Material	41XX												
	Sy,min w/Temp CF (psi)	71,200												
Geometry	Min OD (in)	5.805												
	Max ID (in)	5.5690												
	Area (in2)	2.11												
"Pressure Above
(Isolated, Plugged):"	Max Load w/1.1 FS (lbs)	136,459												
	Max Working Pressure (psi)	10,000												
	Max Pressure w/1.1 FS (psi)	10,345												Not a combine load path, pressure above only
														
	Factor of Safety	1.14												
3D: Mandrel Collapse (Buttress thread Relief)														
Material	Sy,min (psi)	95,000												
	Material	Super 13CR												
	Sy,min w/Temp CF (psi)	89,110												
Geometry	Min OD (in)	4.6175												
	Max ID (in)	4.0050												
	Area (in2)	4.15												
"Pressure Above
(Unplugged):"	Max Load w/1.1 FS (lbs)	336,018												
	Max Tensile Load w/1.1 FS (lbs)	178,642												
	Max Collapse Pressure (psi)	10,626												From BCTC
	Max Pressure w/1.1 FS (psi)	10,000												
	Factor of Safety	1.17												
"Pressure Below
(Isolated):"	Max Load w/1.1 FS (lbs)	336,018												
	Max Tensile Load w/1.1 FS (lbs)	178,642												
	Max Collapse Pressure (psi)	8,655												From BCTC
	Max Pressure w/1.1 FS (psi)	8,650												
	Factor of Safety	1.10												
														
3E: Mandrel Burst (Buttress thread Relief)														
Material	Sy,min (psi)	95,000												
	Material	Super 13CR												
	Sy,min w/Temp CF (psi)	89,110												
Geometry	Min OD (in)	4.6175												
	Max ID (in)	4.0050												
	Area (in2)	4.15												
Pressure Below (Unplugged):	Max Load w/1.1 FS (lbs)	336,018												
	Max Compression Load w/1.1 FS (lbs)	200,000												
	Max Burst Pressure (psi)	10,626												
	Max Pressure w/1.1 FS (psi)	10,000												
	Factor of Safety	1.17												
"Pressure Above
(Isolated):"	Max Load w/1.1 FS (lbs)	336,018												
	Max Compression Load w/1.1 FS (lbs)	200,000												
	Max Burst Pressure (psi)	9,970												From BCTC
	Max Pressure w/1.1 FS (psi)	9,970												
	Factor of Safety	1.10												
"Pressure Above
(Plugged):"	Max Load w/1.1 FS (lbs)	336,018												
	Max Compression Load w/1.1 FS (lbs)	200,000												
	Max Burst Pressure (psi)	8,090												
	Max Pressure w/1.1 FS (psi)	110,000												
	Factor of Safety	0.08												
3F: Mandrel Collapse (Mandrel pickup recess)														
Material	Sy,min (psi)	95,000												
	Material	Super 13CR												
	Sy,min w/Temp CF (psi)	89,110												
Geometry	Min OD (in)	4.62												
	Max ID (in)	4.0050												
	Area (in2)	4.17												
"Pressure Below
(Isolated, Plugged):"	Max Load w/1.1 FS (lbs)	337,488												
	Max Compression Load w/1.1 FS (lbs)	200,000												
	Max Collapse Pressure (psi)	8,090												From BCTC
	Max Pressure w/1.1 FS (psi)	10,000												
	Factor of Safety	0.89												
														
														
